Time,RSSI
2026-4-15 15:42:02.904,-70.300003051757812
2026-4-15 15:42:02.915,-70.300003051757812
2026-4-15 15:42:02.925,-70.199996948242188
2026-4-15 15:42:02.935,-70.300003051757812
2026-4-15 15:42:02.946,-70.300003051757812
2026-4-15 15:42:02.955,-70.400001525878906
2026-4-15 15:42:02.967,-70.400001525878906
2026-4-15 15:42:02.976,-70.5
2026-4-15 15:42:02.987,-70.5
2026-4-15 15:42:02.998,-70.5
2026-4-15 15:42:03.008,-70.5
2026-4-15 15:42:03.019,-70.5
2026-4-15 15:42:03.031,-70.599998474121094
2026-4-15 15:42:03.039,-70.599998474121094
2026-4-15 15:42:03.051,-70.599998474121094
2026-4-15 15:42:03.058,-70.599998474121094
2026-4-15 15:42:03.068,-70.599998474121094
2026-4-15 15:42:03.078,-70.599998474121094
2026-4-15 15:42:03.088,-70.699996948242188
2026-4-15 15:42:03.098,-70.699996948242188
2026-4-15 15:42:03.109,-70.699996948242188
2026-4-15 15:42:03.117,-70.699996948242188
2026-4-15 15:42:03.131,-70.699996948242188
2026-4-15 15:42:03.141,-70.699996948242188
2026-4-15 15:42:03.151,-70.699996948242188
2026-4-15 15:42:03.161,-70.800003051757812
2026-4-15 15:42:03.174,-70.800003051757812
2026-4-15 15:42:03.179,-70.699996948242188
2026-4-15 15:42:03.188,-70.800003051757812
2026-4-15 15:42:03.202,-70.800003051757812
2026-4-15 15:42:03.209,-70.900001525878906
2026-4-15 15:42:03.220,-70.800003051757812
2026-4-15 15:42:03.231,-70.900001525878906
2026-4-15 15:42:03.241,-70.800003051757812
2026-4-15 15:42:03.252,-71
2026-4-15 15:42:03.262,-70.800003051757812
2026-4-15 15:42:03.272,-70.900001525878906
2026-4-15 15:42:03.281,-70.900001525878906
2026-4-15 15:42:03.292,-70.900001525878906
2026-4-15 15:42:03.303,-70.900001525878906
2026-4-15 15:42:03.312,-70.900001525878906
2026-4-15 15:42:03.325,-70.900001525878906
2026-4-15 15:42:03.334,-71
2026-4-15 15:42:03.343,-70.900001525878906
2026-4-15 15:42:03.355,-70.900001525878906
2026-4-15 15:42:03.364,-70.900001525878906
2026-4-15 15:42:03.374,-71
2026-4-15 15:42:03.384,-71
2026-4-15 15:42:03.393,-71
2026-4-15 15:42:03.405,-71
2026-4-15 15:42:03.415,-71
2026-4-15 15:42:03.423,-71
2026-4-15 15:42:03.435,-71
2026-4-15 15:42:03.445,-71
2026-4-15 15:42:03.459,-71
2026-4-15 15:42:03.466,-71
2026-4-15 15:42:03.476,-71.099998474121094
2026-4-15 15:42:03.487,-71.099998474121094
2026-4-15 15:42:03.496,-71.099998474121094
2026-4-15 15:42:03.507,-71
2026-4-15 15:42:03.516,-71.099998474121094
2026-4-15 15:42:03.526,-71
2026-4-15 15:42:03.535,-71.099998474121094
2026-4-15 15:42:03.548,-71
2026-4-15 15:42:03.559,-71
2026-4-15 15:42:03.566,-71
2026-4-15 15:42:03.577,-71.099998474121094
2026-4-15 15:42:03.586,-71
2026-4-15 15:42:03.595,-71.099998474121094
2026-4-15 15:42:03.608,-71.099998474121094
2026-4-15 15:42:03.617,-71.099998474121094
2026-4-15 15:42:03.628,-71.099998474121094
2026-4-15 15:42:03.637,-71.099998474121094
2026-4-15 15:42:03.648,-71.099998474121094
2026-4-15 15:42:03.656,-71.099998474121094
2026-4-15 15:42:03.667,-71
2026-4-15 15:42:03.678,-71.099998474121094
2026-4-15 15:42:03.689,-71
2026-4-15 15:42:03.702,-71
2026-4-15 15:42:03.710,-71
2026-4-15 15:42:03.718,-71
2026-4-15 15:42:03.729,-71
2026-4-15 15:42:03.739,-71
2026-4-15 15:42:03.750,-71
2026-4-15 15:42:03.761,-70.900001525878906
2026-4-15 15:42:03.772,-70.800003051757812
2026-4-15 15:42:04.045,-70.900001525878906
2026-4-15 15:42:04.076,-70.900001525878906
2026-4-15 15:42:04.078,-70.800003051757812
2026-4-15 15:42:04.082,-70.800003051757812
2026-4-15 15:42:04.085,-70.800003051757812
2026-4-15 15:42:04.088,-70.900001525878906
2026-4-15 15:42:04.090,-70.800003051757812
2026-4-15 15:42:04.092,-70.800003051757812
2026-4-15 15:42:04.096,-70.800003051757812
2026-4-15 15:42:04.131,-70.900001525878906
2026-4-15 15:42:04.135,-70.800003051757812
2026-4-15 15:42:04.137,-70.900001525878906
2026-4-15 15:42:04.140,-70.800003051757812
2026-4-15 15:42:04.143,-70.800003051757812
2026-4-15 15:42:04.144,-70.800003051757812
2026-4-15 15:42:04.148,-70.800003051757812
2026-4-15 15:42:04.151,-70.800003051757812
2026-4-15 15:42:04.153,-70.800003051757812
2026-4-15 15:42:04.156,-70.800003051757812
2026-4-15 15:42:04.183,-70.800003051757812
2026-4-15 15:42:04.186,-70.800003051757812
2026-4-15 15:42:04.189,-70.900001525878906
2026-4-15 15:42:04.191,-70.800003051757812
2026-4-15 15:42:04.193,-70.900001525878906
2026-4-15 15:42:04.194,-70.900001525878906
2026-4-15 15:42:04.198,-70.900001525878906
2026-4-15 15:42:04.200,-70.800003051757812
2026-4-15 15:42:04.203,-70.900001525878906
2026-4-15 15:42:04.204,-70.900001525878906
2026-4-15 15:42:04.236,-71
2026-4-15 15:42:04.238,-70.900001525878906
2026-4-15 15:42:04.241,-71
2026-4-15 15:42:04.244,-71
2026-4-15 15:42:04.245,-71
2026-4-15 15:42:04.248,-71
2026-4-15 15:42:04.252,-70.900001525878906
2026-4-15 15:42:04.255,-71.099998474121094
2026-4-15 15:42:04.257,-71.099998474121094
2026-4-15 15:42:04.260,-71
2026-4-15 15:42:04.289,-71.099998474121094
2026-4-15 15:42:04.293,-71
2026-4-15 15:42:04.294,-71
2026-4-15 15:42:04.296,-71
2026-4-15 15:42:04.299,-71.099998474121094
2026-4-15 15:42:04.301,-71
2026-4-15 15:42:04.306,-71.099998474121094
2026-4-15 15:42:04.308,-71
2026-4-15 15:42:04.310,-71
2026-4-15 15:42:04.312,-71.099998474121094
2026-4-15 15:42:04.338,-71.099998474121094
2026-4-15 15:42:04.341,-71
2026-4-15 15:42:04.343,-71.099998474121094
2026-4-15 15:42:04.347,-71.099998474121094
2026-4-15 15:42:04.349,-71
2026-4-15 15:42:04.351,-71.099998474121094
